dish_name,price,category,weight,calories,protein,fat,carbs,composition
Пицца с грушей и голубым сыром,850,Неаполитанская пицца,650,1710,58.6,64.2,224.5,"Тесто, сливочный соус, моцарелла, сыр с голубой плесенью, груша, грецкий орех, мед, зеленое масло"
Пицца с копченым цыпленком и печеным перцем,850,Неаполитанская пицца,600,1510,74.2,51.0,188.6,"Тесто, соус сливочный ВВО, копченый цыпленок, печеный перец, томаты черри, микс салат, пармезан, чесночное масло, специи"
Айс Латте Карамель,330,Освежающие напитки,200,135,2.8,3.2,23.5,"Эспрессо, молоко, карамельный сироп, лед"
Апельсиновый Бамбл кофе со льдом,380,Освежающие напитки,230,110,1.2,0.2,25.8,"Эспрессо, апельсиновый сок, карамельный сироп, лед"
Ягодный лимонад с джус-боллами,380,Освежающие напитки,200,95,0.2,0.0,23.5,"Ягодное пюре, газированная вода, джус-боллы, сироп, лед"
Манго-маракуйя,330,Домашние лимонады,200,85,0.3,0.0,21.0,"Пюре манго, пюре маракуйи, сахарный сироп, содовая, лед"
Мохито,330,Домашние лимонады,200,70,0.1,0.0,17.2,"Лайм, мята, сахарный сироп, содовая, лед"
Облепиховый,195,Морс,200,80,0.4,1.0,17.4,"Ягоды облепихи, вода, сахар"
Клюквенный,195,Морс,200,75,0.2,0.0,18.5,"Ягоды клюквы, вода, сахар"
Апельсиновый фреш,350,Холодные напитки,200,86,1.8,0.4,18.8,"Натуральный свежевыжатый апельсиновый сок"
Сок Rich в ассортименте,180,Холодные напитки,200,92,0.6,0.0,22.4,"Пакетированный сок Rich в ассортименте"
Кола Добрый,295,Холодные напитки,250,105,0.0,0.0,26.5,"Газированный напиток Добрый Кола"
Лимонад Добрый Апельсин,295,Холодные напитки,250,110,0.0,0.0,27.5,"Газированный напиток Добрый Апельсин"
Сникерс,390,Милкшейки,300,480,8.5,22.0,62.0,"Молоко, мороженое, арахисовая паста, шоколадный сироп, карамель"
Ванильный,390,Милкшейки,300,320,6.2,14.5,41.2,"Молоко, мороженое, ванильный сироп"
Клубника-банан,390,Милкшейки,300,350,6.5,13.8,50.0,"Молоко, мороженое, клубничный сироп, банан fresh"
СИДР Красное яблоко,350,Алкогольные напитки,450,225,0.0,0.0,27.0,"Сидр яблочный полусладкий фильтрованный"
СИДР Груша,350,Алкогольные напитки,450,235,0.0,0.0,29.2,"Сидр грушевый (пуаре) полусладкий"
СИДР Лесные ягоды,350,Алкогольные напитки,450,240,0.0,0.0,30.5,"Сидр фруктово-ягодный полусладкий"
СИДР Черная смородина,350,Алкогольные напитки,450,240,0.0,0.0,30.5,"Сидр со вкусом черной смородины полусладкий"
Тёмное,330,Бутылочное пиво,450,215,1.8,0.0,21.6,"Пиво темное бутылочное"
Светлое,330,Бутылочное пиво,450,190,1.4,0.0,16.2,"Пиво светлое бутылочное"
Безалкогольное,330,Бутылочное пиво,330,100,1.0,0.0,15.8,"Пиво безалкогольное бутылочное"
Пшеничное нефильтрованное,380,Разливное пиво,500,235,2.5,0.0,21.5,"Пиво пшеничное нефильтрованное разливное"
Светлое фильтрованное,380,Разливное пиво,500,210,2.0,0.0,18.0,"Пиво светлое фильтрованное разливное"
Чай Облепиха-Апельсин,330,Чай,250,110,0.5,1.2,24.2,"Ягоды облепихи, апельсин, вода, фруктовый сироп"
Чай Манго-Маракуйя,330,Чай,250,105,0.4,0.1,25.5,"Пюре манго, пюре маракуйи, вода, сахарный сироп"
Чай Малина-мята,330,Чай,250,95,0.6,0.2,22.8,"Ягоды малины, свежая мята, вода, сахарный сироп"
Чёрный,400,Заварной в чайнике,650,5,0.2,0.0,1.0,"Листовой черный чай, вода"
Черный с бергамотом,400,Заварной в чайнике,650,5,0.2,0.0,1.0,"Листовой черный чай, ароматизатор бергамот, вода"
Черный с чабрецом,400,Заварной в чайнике,650,6,0.3,0.0,1.2,"Листовой черный чай, сушеный чабрец, вода"
Зеленый Сенча,400,Заварной в чайнике,650,4,0.1,0.0,0.8,"Листовой зеленый чай сенча, вода"
Зеленый с жасмином,400,Заварной в чайнике,650,4,0.1,0.0,0.8,"Листовой зеленый чай, цветки жасмина, вода"
Улун Манго,400,Заварной в чайнике,650,12,0.2,0.0,2.8,"Чай улун, кусочки сушеного манго, вода"
Фруктовый,400,Заварной в чайнике,650,18,0.3,0.0,4.2,"Смесь сушеных ягод, фруктов и гибискуса, вода"
Клубника со сливками,400,Заварной в чайнике,650,15,0.2,0.1,3.4,"Черный или зеленый байховый чай, кусочки клубники, ароматизатор, вода"
Двойной эспрессо,210,Кофе,60,4,0.4,0.4,0.0,"Кофе натуральный жареный молотый, вода"
Американо,210,Кофе,180,4,0.4,0.4,0.0,"Эспрессо, вода"
Капучино,290,Кофе,300,140,6.8,7.2,11.8,"Эспрессо, молоко пастеризованное"
Латте,290,Кофе,300,165,7.5,8.0,15.2,"Молоко пастеризованное, эспрессо"
Флэт Уайт,300,Кофе,200,115,5.4,5.8,10.2,"Молоко пастеризованное, двойной эспрессо"
Раф,330,Кофе,300,285,4.2,22.5,16.8,"Эспрессо, сливки 10%, ванильный сахар"
